S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at 25°C),CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),TDS (mg/L),WQI,Hardness_Category,Unsafe_pH,Unsafe_EC,Unsafe_CO3,Unsafe_HCO3,Unsafe_Cl,Unsafe_F,Unsafe_SO4,Unsafe_NO3,Unsafe_Overall,Water_Safety,Water_Safety_Label
1,Andaman & Nicobar Islands,North & Middle Andaman,Bakultala,92.8577,12.5043,2023,7.96,395.0,0.0,171.0,14.0,0.18,28.0,8.0,160.0,12.0,32.0,18.0,5.0,252.8,57.303333333333335,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
2,Andaman & Nicobar Islands,North & Middle Andaman,Baratang (Nilambur),92.767,12.1683,2023,8.19,473.0,0.0,31.0,96.0,0.0,50.0,10.0,135.0,26.0,17.0,39.0,5.0,302.72,49.306666666666665,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
3,Andaman & Nicobar Islands,North & Middle Andaman,Basantipur,92.8737,12.7579,2023,8.19,556.0,0.0,220.0,28.0,0.0,51.0,1.0,230.0,38.0,33.0,22.0,1.0,355.84000000000003,81.25,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
4,Andaman & Nicobar Islands,North & Middle Andaman,Betapur,92.9434,12.6191,2023,8.07,487.0,0.0,214.0,57.0,0.16,0.0,2.0,95.0,18.0,12.0,68.0,8.0,311.68,35.98,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
5,Andaman & Nicobar Islands,North & Middle Andaman,Dhobidera (Mayabunder),92.8992,12.9099,2023,8.02,567.0,0.0,232.0,39.0,0.13,29.0,11.0,230.0,28.0,39.0,31.0,1.0,362.88,81.23,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
6,Andaman & Nicobar Islands,North & Middle Andaman,Durgapur,93.0236,13.2765,2023,8.2,526.0,0.0,232.0,25.0,0.38,28.0,0.0,160.0,34.0,18.0,43.0,1.0,336.64,57.82,Hard,False,False,False,False,False,False,False,False,False,Safe,0
7,Andaman & Nicobar Islands,North & Middle Andaman,Haribay,92.8442,13.0023,2023,8.15,233.0,0.0,92.0,25.0,0.0,12.0,3.0,70.0,24.0,2.0,25.0,1.0,149.12,26.826666666666668,Soft,False,False,False,False,False,False,False,False,False,Safe,0
8,Andaman & Nicobar Islands,North & Middle Andaman,Joypur,92.8809,12.6982,2023,8.13,457.0,0.0,201.0,32.0,0.12,26.0,1.0,220.0,14.0,45.0,12.0,0.0,292.48,77.56666666666666,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
9,Andaman & Nicobar Islands,North & Middle Andaman,Kadamtala,92.775,12.3488,2023,8.09,413.0,0.0,214.0,25.0,0.0,8.0,2.0,180.0,34.0,23.0,13.0,1.0,264.32,64.07333333333334,Hard,False,False,False,False,False,False,False,False,False,Safe,0
10,Andaman & Nicobar Islands,North & Middle Andaman,Kausalyanagar,92.8189,12.5284,2023,8.08,276.0,0.0,122.0,21.0,0.0,13.0,4.0,95.0,24.0,9.0,23.0,3.0,176.64000000000001,35.28,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
11,Andaman & Nicobar Islands,North & Middle Andaman,Keralapuram,93.0135,13.2588,2023,8.18,271.0,0.0,98.0,28.0,0.0,15.0,2.0,105.0,8.0,21.0,15.0,2.0,173.44,38.63,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
12,Andaman & Nicobar Islands,North & Middle Andaman,Kishorinagar (Parangara),92.8839,13.163,2023,8.25,72.0,0.0,31.0,7.0,0.03,1.0,1.0,30.0,6.0,4.0,3.0,1.0,46.08,12.99,Soft,False,False,False,False,False,False,False,False,False,Safe,0
13,Andaman & Nicobar Islands,North & Middle Andaman,Laxmipur,92.964,13.2873,2023,8.12,1081.0,0.0,98.0,163.0,0.69,186.0,0.0,255.0,12.0,55.0,113.0,5.0,691.84,91.31,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
14,Andaman & Nicobar Islands,North & Middle Andaman,Long Island,92.9248,12.3653,2023,8.14,315.0,0.0,128.0,28.0,0.0,12.0,2.0,130.0,32.0,12.0,11.0,4.0,201.6,47.096666666666664,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
15,Andaman & Nicobar Islands,North & Middle Andaman,Long Island,92.9237,12.3644,2023,8.15,353.0,0.0,159.0,14.0,0.0,30.0,0.0,165.0,12.0,33.0,9.0,0.0,225.92000000000002,58.89333333333334,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
16,Andaman & Nicobar Islands,North & Middle Andaman,Long Island (Forest Area),92.9231,12.3667,2023,8.17,628.0,0.0,342.0,28.0,0.0,10.0,3.0,320.0,14.0,69.0,7.0,3.0,401.92,111.48333333333333,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
17,Andaman & Nicobar Islands,North & Middle Andaman,Long Island (Sec. School),92.9176,12.3671,2023,8.13,342.0,0.0,177.0,18.0,0.03,7.0,0.0,140.0,24.0,19.0,12.0,0.0,218.88,50.51666666666667,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
18,Andaman & Nicobar Islands,North & Middle Andaman,Milangram,92.9431,13.3148,2023,8.16,247.0,0.0,79.0,39.0,0.02,11.0,1.0,80.0,14.0,11.0,20.0,2.0,158.08,30.209999999999997,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
19,Andaman & Nicobar Islands,North & Middle Andaman,Mohanpur,92.8357,12.9546,2023,7.91,416.0,0.0,201.0,21.0,0.11,2.0,20.0,190.0,34.0,26.0,13.0,3.0,266.24,67.35666666666667,Hard,False,False,False,False,False,False,False,False,False,Safe,0
20,Andaman & Nicobar Islands,North & Middle Andaman,Nabagram,92.9491,13.1555,2023,8.21,298.0,0.0,116.0,35.0,0.0,0.0,2.0,95.0,24.0,9.0,25.0,1.0,190.72,35.39666666666667,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
21,Andaman & Nicobar Islands,North & Middle Andaman,Nimbutala,92.9542,12.4946,2023,8.01,427.0,0.0,195.0,35.0,0.42,13.0,11.0,200.0,16.0,39.0,11.0,3.0,273.28000000000003,70.76,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
22,Andaman & Nicobar Islands,North & Middle Andaman,Padmanavapuram,92.9493,12.6063,2023,7.91,294.0,0.0,98.0,21.0,0.27,25.0,26.0,70.0,26.0,1.0,37.0,1.0,188.16,26.95,Soft,False,False,False,False,False,False,False,False,False,Safe,0
23,Andaman & Nicobar Islands,North & Middle Andaman,Pahalgaon,92.8532,12.8393,2023,8.03,405.0,0.0,183.0,35.0,0.11,11.0,6.0,190.0,12.0,39.0,12.0,1.0,259.2,67.36,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
24,Andaman & Nicobar Islands,North & Middle Andaman,Parnashala,92.9043,12.5244,2023,8.08,703.0,0.0,232.0,103.0,0.0,8.0,3.0,230.0,22.0,43.0,60.0,6.0,449.92,81.70333333333333,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
25,Andaman & Nicobar Islands,North & Middle Andaman,Phooltala Basti,92.7629,12.4118,2023,8.22,541.0,0.0,201.0,28.0,0.16,37.0,13.0,200.0,14.0,40.0,41.0,4.0,346.24,71.21,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
26,Andaman & Nicobar Islands,North & Middle Andaman,Porlobjig-15,92.7813,12.496,2023,8.21,290.0,0.0,134.0,18.0,0.0,12.0,3.0,115.0,16.0,18.0,13.0,1.0,185.6,42.03666666666667,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
27,Andaman & Nicobar Islands,North & Middle Andaman,Rangat,92.9108,12.5057,2023,8.02,558.0,0.0,268.0,28.0,0.46,14.0,9.0,225.0,24.0,40.0,30.0,5.0,357.12,79.53333333333333,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
28,Andaman & Nicobar Islands,North & Middle Andaman,Rest Camp,92.8593,12.8328,2023,7.95,441.0,0.0,171.0,35.0,0.42,32.0,8.0,170.0,34.0,21.0,21.0,1.0,282.24,60.78666666666667,Hard,False,False,False,False,False,False,False,False,False,Safe,0
29,Andaman & Nicobar Islands,North & Middle Andaman,Shibpur,93.0421,13.2507,2023,7.81,886.0,0.0,275.0,142.0,0.0,7.0,2.0,215.0,28.0,35.0,107.0,7.0,567.04,77.22333333333333,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
30,Andaman & Nicobar Islands,North & Middle Andaman,Sitanagar,92.9359,13.2261,2023,8.2,301.0,0.0,92.0,43.0,0.0,16.0,2.0,100.0,16.0,15.0,21.0,1.0,192.64000000000001,37.07,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
31,Andaman & Nicobar Islands,North & Middle Andaman,South Creek (Sundergarh),92.7919,12.1869,2023,8.02,406.0,0.0,140.0,50.0,0.08,31.0,3.0,175.0,18.0,32.0,20.0,2.0,259.84000000000003,62.35999999999999,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
32,Andaman & Nicobar Islands,North & Middle Andaman,Srinagar,92.8688,13.1399,2023,8.1,513.0,0.0,214.0,74.0,0.0,0.0,2.0,145.0,22.0,22.0,50.0,13.0,328.32,52.74333333333333,Moderately Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
33,Andaman & Nicobar Islands,North & Middle Andaman,Subhasgram,92.9662,13.2432,2023,7.96,1023.0,0.0,354.0,163.0,0.0,0.0,42.0,205.0,28.0,33.0,138.0,21.0,654.72,74.39666666666666,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
34,Andaman & Nicobar Islands,North & Middle Andaman,Swadeshnagar,92.8924,12.6508,2023,8.23,385.0,0.0,177.0,28.0,0.1,20.0,1.0,170.0,20.0,29.0,13.0,2.0,246.4,60.693333333333335,Hard,False,False,False,False,False,False,False,False,False,Safe,0
35,Andaman & Nicobar Islands,North & Middle Andaman,Tikadera,92.814,12.5228,2023,8.16,271.0,0.0,49.0,32.0,0.0,39.0,2.0,40.0,10.0,4.0,40.0,1.0,173.44,16.956666666666667,Soft,False,False,False,False,False,False,False,False,False,Safe,0
36,Andaman & Nicobar Islands,North & Middle Andaman,Tugapur No. 8,92.8224,12.8196,2023,7.96,358.0,0.0,171.0,21.0,0.04,17.0,2.0,170.0,44.0,15.0,8.0,1.0,229.12,60.51333333333333,Hard,False,False,False,False,False,False,False,False,False,Safe,0
37,Andaman & Nicobar Islands,North & Middle Andaman,Uttara,92.7901,12.328,2023,8.18,405.0,0.0,183.0,18.0,0.07,29.0,1.0,155.0,24.0,23.0,17.0,1.0,259.2,55.74333333333333,Hard,False,False,False,False,False,False,False,False,False,Safe,0
38,Andaman & Nicobar Islands,North & Middle Andaman,Webi (Debipur),92.872,12.8669,2023,8.11,190.0,0.0,37.0,18.0,0.03,12.0,25.0,35.0,8.0,4.0,9.0,36.0,121.60000000000001,15.003333333333332,Soft,False,False,False,False,False,False,False,False,False,Unsafe,1
39,Andaman & Nicobar Islands,South Andaman,6½ No. Forest Camp,92.9671,12.008,2023,8.24,368.0,0.0,128.0,53.0,0.0,0.0,5.0,90.0,20.0,10.0,40.0,5.0,235.52,33.973333333333336,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
40,Andaman & Nicobar Islands,South Andaman,Annikat,92.6482,11.7075,2023,8.24,342.0,0.0,153.0,18.0,0.0,27.0,1.0,145.0,22.0,22.0,16.0,1.0,218.88,52.22,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
41,Andaman & Nicobar Islands,South Andaman,Austinabad (Port Blair),92.7347,11.6351,2023,8.14,278.0,0.0,110.0,28.0,0.05,12.0,0.0,100.0,16.0,15.0,20.0,1.0,177.92000000000002,36.973333333333336,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
42,Andaman & Nicobar Islands,South Andaman,Bambooflat,92.715,11.7055,2023,8.18,515.0,0.0,256.0,32.0,0.14,22.0,0.0,180.0,30.0,26.0,38.0,2.0,329.6,64.44333333333334,Hard,False,False,False,False,False,False,False,False,False,Safe,0
43,Andaman & Nicobar Islands,South Andaman,Beadnabad Tubewell,92.7339,11.5856,2023,8.22,307.0,0.0,116.0,28.0,0.0,5.0,13.0,115.0,24.0,13.0,17.0,4.0,196.48000000000002,42.09666666666667,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
44,Andaman & Nicobar Islands,South Andaman,Bharatpur,93.0384,11.8304,2023,7.98,329.0,0.0,146.0,25.0,0.34,17.0,0.0,145.0,14.0,27.0,12.0,0.0,210.56,52.09,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
45,Andaman & Nicobar Islands,South Andaman,Bharatpur,93.0447,11.8362,2023,7.63,384.0,0.0,134.0,32.0,0.49,25.0,3.0,130.0,18.0,21.0,28.0,4.0,245.76,47.156666666666666,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
46,Andaman & Nicobar Islands,South Andaman,Bindraban,92.6674,11.722,2023,8.23,450.0,0.0,146.0,39.0,0.02,44.0,0.0,175.0,16.0,33.0,26.0,2.0,288.0,62.57666666666666,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
47,Andaman & Nicobar Islands,South Andaman,Brichganj,92.7377,11.615,2023,8.16,292.0,0.0,159.0,14.0,0.13,7.0,0.0,135.0,24.0,18.0,9.0,0.0,186.88,48.693333333333335,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
48,Andaman & Nicobar Islands,South Andaman,Brookshabad (Port Blair),92.7404,11.638,2023,8.07,526.0,0.0,293.0,21.0,0.09,17.0,0.0,235.0,38.0,34.0,20.0,2.0,336.64,82.77666666666667,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
49,Andaman & Nicobar Islands,South Andaman,Burmanala,92.7294,11.558,2023,8.27,376.0,0.0,189.0,25.0,0.09,15.0,0.0,155.0,30.0,19.0,19.0,0.0,240.64000000000001,55.67666666666667,Hard,False,False,False,False,False,False,False,False,False,Safe,0
50,Andaman & Nicobar Islands,South Andaman,Calicut,92.7264,11.6074,2023,8.17,394.0,0.0,201.0,21.0,0.08,16.0,0.0,160.0,32.0,19.0,19.0,0.0,252.16,57.370000000000005,Hard,False,False,False,False,False,False,False,False,False,Safe,0
51,Andaman & Nicobar Islands,South Andaman,Calicut Borewell,92.7195,11.6001,2023,8.05,330.0,0.0,104.0,35.0,0.0,21.0,14.0,135.0,22.0,19.0,11.0,4.0,211.20000000000002,48.78333333333333,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
52,Andaman & Nicobar Islands,South Andaman,Chidiyatapu,92.7019,11.5033,2023,8.22,594.0,0.0,268.0,39.0,0.07,23.0,0.0,225.0,36.0,33.0,29.0,1.0,380.16,79.72,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
53,Andaman & Nicobar Islands,South Andaman,Chouldari 1,92.667,11.6312,2023,8.24,622.0,0.0,256.0,46.0,0.1,53.0,1.0,135.0,26.0,17.0,88.0,1.0,398.08,49.82,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
54,Andaman & Nicobar Islands,South Andaman,Corbyn'S Cove (Port Blair),92.746,11.6425,2023,7.7,713.0,0.0,281.0,78.0,0.13,30.0,0.0,230.0,52.0,24.0,66.0,2.0,456.32,81.61,Hard,False,False,False,False,False,False,False,False,False,Safe,0
55,Andaman & Nicobar Islands,South Andaman,Dandaspoint,92.7074,11.6704,2023,8.27,339.0,0.0,146.0,35.0,0.09,3.0,5.0,150.0,28.0,19.0,12.0,1.0,216.96,53.88666666666666,Hard,False,False,False,False,False,False,False,False,False,Safe,0
56,Andaman & Nicobar Islands,South Andaman,Dhannikhari,92.6671,11.6126,2023,8.24,355.0,0.0,61.0,78.0,0.0,8.0,2.0,70.0,14.0,9.0,45.0,10.0,227.20000000000002,27.263333333333332,Soft,False,False,False,False,False,False,False,False,False,Safe,0
57,Andaman & Nicobar Islands,South Andaman,Dollyganj Chowk,92.7228,11.6343,2023,8.23,591.0,0.0,287.0,21.0,0.18,29.0,0.0,185.0,24.0,30.0,41.0,1.0,378.24,66.38,Hard,False,False,False,False,False,False,False,False,False,Safe,0
58,Andaman & Nicobar Islands,South Andaman,Dolphin Yatri Niwas,93.0112,12.0189,2023,8.08,259.0,0.0,104.0,21.0,0.0,9.0,3.0,80.0,22.0,6.0,18.0,1.0,165.76,30.223333333333333,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
59,Andaman & Nicobar Islands,South Andaman,Ferrarganj,92.6531,11.7175,2023,8.09,1004.0,0.0,494.0,89.0,0.52,0.0,3.0,300.0,34.0,52.0,104.0,12.0,642.5600000000001,106.04333333333334,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
60,Andaman & Nicobar Islands,South Andaman,Garacharma,92.7095,11.6137,2023,8.0,695.0,0.0,299.0,60.0,0.15,29.0,0.0,250.0,42.0,35.0,37.0,3.0,444.8,88.31666666666666,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
61,Andaman & Nicobar Islands,South Andaman,Govindanagar Vill No - 1,92.9972,12.0302,2023,7.92,809.0,0.0,226.0,135.0,0.09,25.0,4.0,215.0,30.0,34.0,98.0,3.0,517.76,77.00333333333333,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
62,Andaman & Nicobar Islands,South Andaman,Govindanagar Vill No - 3,93.0036,12.0232,2023,8.06,413.0,0.0,214.0,25.0,0.57,8.0,2.0,125.0,18.0,19.0,38.0,3.0,264.32,45.73,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
63,Andaman & Nicobar Islands,South Andaman,Gupta Para,92.6587,11.5599,2023,8.2,371.0,0.0,153.0,18.0,0.0,32.0,2.0,140.0,24.0,19.0,22.0,2.0,237.44,50.63666666666666,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
64,Andaman & Nicobar Islands,South Andaman,Haddo – 2,92.7279,11.7685,2023,8.27,617.0,0.0,214.0,82.0,0.07,27.0,1.0,240.0,16.0,49.0,34.0,1.0,394.88,84.81333333333333,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
65,Andaman & Nicobar Islands,South Andaman,Hasmatabad,92.6455,11.5944,2023,8.11,343.0,0.0,183.0,18.0,0.09,5.0,3.0,160.0,30.0,21.0,12.0,2.0,219.52,57.18,Hard,False,False,False,False,False,False,False,False,False,Safe,0
66,Andaman & Nicobar Islands,South Andaman,Havelock Island Jetty,92.981,12.0413,2023,7.85,1169.0,0.0,226.0,135.0,0.6,242.0,2.0,335.0,26.0,66.0,118.0,7.0,748.16,118.18,Very Hard,False,False,False,False,False,False,True,False,True,Unsafe,1
67,Andaman & Nicobar Islands,South Andaman,Herbertabad,92.6151,11.7082,2023,8.23,198.0,0.0,92.0,18.0,0.15,4.0,2.0,80.0,20.0,7.0,9.0,2.0,126.72,30.070000000000004,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
68,Andaman & Nicobar Islands,South Andaman,Hope Town (Maremon Temple),92.7272,11.6981,2023,8.29,635.0,0.0,171.0,78.0,0.46,47.0,28.0,235.0,24.0,43.0,38.0,8.0,406.40000000000003,83.21333333333332,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
69,Andaman & Nicobar Islands,South Andaman,Junglighat (Vip Road),92.7352,11.6576,2023,8.29,461.0,0.0,153.0,60.0,0.11,27.0,0.0,170.0,30.0,23.0,28.0,1.0,295.04,60.96666666666667,Hard,False,False,False,False,False,False,False,False,False,Safe,0
70,Andaman & Nicobar Islands,South Andaman,Kalapathar,93.0059,11.9749,2023,7.97,852.0,0.0,195.0,174.0,0.0,0.0,7.0,200.0,18.0,38.0,106.0,5.0,545.28,72.16333333333334,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
71,Andaman & Nicobar Islands,South Andaman,Kanyapuram,92.7069,11.7367,2023,8.09,504.0,0.0,189.0,50.0,0.35,17.0,14.0,200.0,24.0,34.0,20.0,1.0,322.56,71.04333333333334,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
72,Andaman & Nicobar Islands,South Andaman,Kodiaghat,92.7277,11.5452,2023,8.14,278.0,0.0,122.0,18.0,0.07,4.0,0.0,105.0,30.0,7.0,12.0,0.0,177.92000000000002,38.64,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
73,Andaman & Nicobar Islands,South Andaman,Krishnanagar,92.9766,12.0018,2023,8.1,368.0,0.0,171.0,25.0,0.22,20.0,2.0,150.0,24.0,22.0,20.0,1.0,235.52,53.92666666666667,Hard,False,False,False,False,False,False,False,False,False,Safe,0
74,Andaman & Nicobar Islands,South Andaman,Lamba Line,92.7495,11.6593,2023,8.16,389.0,0.0,110.0,82.0,0.0,0.0,2.0,115.0,8.0,23.0,42.0,5.0,248.96,42.35,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
75,Andaman & Nicobar Islands,South Andaman,Laxmanpur,93.0171,11.832,2023,8.12,324.0,0.0,153.0,25.0,0.42,0.0,1.0,60.0,18.0,4.0,45.0,2.0,207.36,23.786666666666665,Soft,False,False,False,False,False,False,False,False,False,Safe,0
76,Andaman & Nicobar Islands,South Andaman,Light House,92.7378,11.6681,2023,8.22,812.0,0.0,390.0,50.0,0.38,27.0,2.0,200.0,12.0,41.0,99.0,4.0,519.6800000000001,72.11333333333333,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
77,Andaman & Nicobar Islands,South Andaman,Mamyo,92.633,11.5979,2023,8.24,167.0,0.0,61.0,11.0,0.0,11.0,3.0,50.0,18.0,1.0,12.0,3.0,106.88,19.97,Soft,False,False,False,False,False,False,False,False,False,Safe,0
78,Andaman & Nicobar Islands,South Andaman,Manglutan,92.6602,11.5714,2023,8.09,129.0,0.0,24.0,14.0,0.25,17.0,3.0,45.0,8.0,6.0,8.0,0.0,82.56,18.126666666666665,Soft,False,False,False,False,False,False,False,False,False,Safe,0
79,Andaman & Nicobar Islands,South Andaman,Manjeri,,11.5393,2023,8.3,732.0,0.0,336.0,39.0,0.41,33.0,10.0,295.0,16.0,62.0,30.0,5.0,468.48,103.54,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
80,Andaman & Nicobar Islands,South Andaman,Mannarghat,92.7061,11.7685,2023,8.13,397.0,0.0,159.0,14.0,0.3,50.0,15.0,155.0,18.0,27.0,22.0,1.0,254.08,55.699999999999996,Hard,False,False,False,False,False,False,False,False,False,Safe,0
81,Andaman & Nicobar Islands,South Andaman,Marina Park,92.7463,11.6711,2023,7.84,418.0,0.0,195.0,25.0,0.24,21.0,0.0,180.0,22.0,30.0,22.0,1.0,267.52,64.00666666666667,Hard,False,False,False,False,False,False,False,False,False,Safe,0
82,Andaman & Nicobar Islands,South Andaman,Mile Tilak,92.6557,11.7947,2023,8.21,766.0,0.0,305.0,82.0,0.0,28.0,1.0,170.0,18.0,30.0,100.0,7.0,490.24,61.95666666666667,Hard,False,False,False,False,False,False,False,False,False,Safe,0
83,Andaman & Nicobar Islands,South Andaman,Mithakhari,92.6734,11.6681,2023,8.26,1674.0,0.0,464.0,230.0,0.0,152.0,10.0,320.0,20.0,66.0,247.0,6.0,1071.3600000000001,115.0,Very Hard,False,True,False,False,False,False,False,False,True,Unsafe,1
84,Andaman & Nicobar Islands,South Andaman,Mount Harriyat,92.7326,11.7194,2023,8.23,123.0,0.0,43.0,11.0,0.07,5.0,8.0,40.0,12.0,2.0,10.0,2.0,78.72,16.486666666666668,Soft,False,False,False,False,False,False,False,False,False,Safe,0
85,Andaman & Nicobar Islands,South Andaman,Namunagar,92.6802,11.6905,2023,8.19,412.0,0.0,165.0,32.0,0.18,34.0,2.0,175.0,16.0,33.0,15.0,2.0,263.68,62.43666666666667,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
86,Andaman & Nicobar Islands,South Andaman,Nayasahar,92.6767,11.579,2023,8.22,252.0,0.0,73.0,35.0,0.0,0.0,9.0,80.0,28.0,2.0,16.0,2.0,161.28,30.246666666666666,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
87,Andaman & Nicobar Islands,South Andaman,Neil Kendra,93.0293,11.8332,2023,8.12,460.0,0.0,177.0,71.0,0.0,0.0,2.0,155.0,16.0,28.0,38.0,6.0,294.40000000000003,55.906666666666666,Hard,False,False,False,False,False,False,False,False,False,Safe,0
88,Andaman & Nicobar Islands,South Andaman,New Bimliton,92.6963,11.5713,2023,8.17,439.0,0.0,110.0,53.0,0.0,47.0,0.0,150.0,14.0,28.0,27.0,5.0,280.96,54.18666666666667,Hard,False,False,False,False,False,False,False,False,False,Safe,0
89,Andaman & Nicobar Islands,South Andaman,Ograbraj,92.6612,11.6555,2023,7.7,2532.0,0.0,531.0,606.0,0.28,92.0,1.0,460.0,76.0,66.0,394.0,25.0,1620.48,164.34,Very Hard,False,True,False,True,True,False,False,False,True,Unsafe,1
90,Andaman & Nicobar Islands,South Andaman,Pearl Park Resort,93.0144,11.8454,2023,8.03,485.0,0.0,250.0,18.0,0.38,24.0,2.0,235.0,18.0,46.0,11.0,0.0,310.40000000000003,82.62666666666667,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
91,Andaman & Nicobar Islands,South Andaman,Port Blair,92.744,11.6706,2023,8.04,818.0,0.0,323.0,64.0,0.14,66.0,12.0,300.0,56.0,39.0,61.0,11.0,523.52,105.40666666666668,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
92,Andaman & Nicobar Islands,South Andaman,Port Blair (Dobhi Well),92.7349,11.671,2023,8.04,577.0,0.0,281.0,25.0,0.21,30.0,0.0,220.0,30.0,35.0,28.0,0.0,369.28000000000003,77.93666666666667,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
93,Andaman & Nicobar Islands,South Andaman,Port Mout,92.6599,11.6433,2023,8.03,388.0,0.0,189.0,21.0,0.24,15.0,5.0,185.0,26.0,29.0,9.0,2.0,248.32,65.63666666666667,Hard,False,False,False,False,False,False,False,False,False,Safe,0
94,Andaman & Nicobar Islands,South Andaman,Radhanagar,92.9536,11.9918,2023,8.03,509.0,0.0,195.0,50.0,0.3,28.0,0.0,200.0,20.0,36.0,24.0,4.0,325.76,71.04,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
95,Andaman & Nicobar Islands,South Andaman,Ramnagar,93.0453,11.8172,2023,8.22,380.0,0.0,134.0,53.0,0.0,12.0,0.0,150.0,30.0,18.0,16.0,3.0,243.20000000000002,54.00666666666667,Hard,False,False,False,False,False,False,False,False,False,Safe,0
96,Andaman & Nicobar Islands,South Andaman,Rangachang,92.737,11.5793,2023,7.99,418.0,0.0,214.0,21.0,0.0,6.0,2.0,150.0,28.0,19.0,31.0,2.0,267.52,54.056666666666665,Hard,False,False,False,False,False,False,False,False,False,Safe,0
97,Andaman & Nicobar Islands,South Andaman,Ross Island,92.7638,11.6758,2023,8.08,768.0,0.0,238.0,103.0,0.37,32.0,16.0,190.0,42.0,21.0,100.0,3.0,491.52,68.58666666666666,Hard,False,False,False,False,False,False,False,False,False,Safe,0
98,Andaman & Nicobar Islands,South Andaman,Saitankhari,92.6661,11.7172,2023,8.2,491.0,0.0,232.0,39.0,0.16,21.0,0.0,215.0,38.0,29.0,19.0,2.0,314.24,76.03666666666668,Hard,False,False,False,False,False,False,False,False,False,Safe,0
99,Andaman & Nicobar Islands,South Andaman,Shadipur (Port Blair),92.7435,11.6565,2023,7.96,592.0,0.0,262.0,46.0,0.18,31.0,10.0,210.0,36.0,29.0,44.0,4.0,378.88,74.62666666666667,Hard,False,False,False,False,False,False,False,False,False,Safe,0
